PNA;MIEJSCOWOå∆;ULICA;NUMERY;GMINA;POWIAT;WOJEW”DZTWO
09-550;AdamÛw;;;Szczawin Koúcielny;gostyniÒski;mazowieckie
21-070;AdamÛw;;;CycÛw;≥ÍczyÒski;lubelskie
21-412;AdamÛw;;;AdamÛw;≥ukowski;lubelskie
22-363;AdamÛw;;;Rejowiec;che≥mski;lubelskie
22-442;AdamÛw;;;AdamÛw;zamojski;lubelskie
26-212;AdamÛw;;;SmykÛw;konecki;úwiÍtokrzyskie
26-300;AdamÛw;;;Opoczno;opoczyÒski;≥Ûdzkie
26-330;AdamÛw;;;ØarnÛw;opoczyÒski;≥Ûdzkie
26-333;AdamÛw;;;Paradyø;opoczyÒski;≥Ûdzkie
26-803;AdamÛw;;;Promna;bia≥obrzeski;mazowieckie
26-903;AdamÛw;;;G≥owaczÛw;kozienicki;mazowieckie
27-230;AdamÛw;;;Brody;starachowicki;úwiÍtokrzyskie
27-350;AdamÛw;;;Sienno;lipski;mazowieckie
27-500;AdamÛw;;;OpatÛw;opatowski;úwiÍtokrzyskie
27-540;AdamÛw;;;Lipnik;opatowski;úwiÍtokrzyskie
42-270;AdamÛw;;;K≥omnice;czÍstochowski;úlπskie
62-513;AdamÛw;;;KrzymÛw;koniÒski;wielkopolskie
62-590;AdamÛw;;;Golina;koniÒski;wielkopolskie
95-060;AdamÛw;;;Brzeziny;brzeziÒski;≥Ûdzkie
96-115;AdamÛw;;;Nowy KawÍczyn;skierniewicki;≥Ûdzkie
97-212;AdamÛw;;;Budziszewice;tomaszowski;≥Ûdzkie
97-320;AdamÛw;;;WolbÛrz;piotrkowski;≥Ûdzkie
97-352;AdamÛw;;;£Íki Szlacheckie;piotrkowski;≥Ûdzkie
97-400;AdamÛw;;;Be≥chatÛw;be≥chatowski;≥Ûdzkie
97-410;AdamÛw;;;KleszczÛw;be≥chatowski;≥Ûdzkie
97-561;AdamÛw;;;£adzice;radomszczaÒski;≥Ûdzkie
99-200;AdamÛw;;;PoddÍbice;poddÍbicki;≥Ûdzkie
99-300;AdamÛw;;;Kutno;kutnowski;≥Ûdzkie
62-590;AdamÛw (AdamÛw-Kolonia);;;Golina;koniÒski;wielkopolskie
05-651;AdamÛw Drwalewski;;;ChynÛw;grÛjecki;mazowieckie
05-650;AdamÛw Rososki;;;ChynÛw;grÛjecki;mazowieckie
62-590;AdamÛw (Sp≥awie-Stacja Kolejowa);;;Golina;koniÒski;wielkopolskie
05-152;AdamÛwek;;;CzosnÛw;nowodworski;mazowieckie
96-320;AdamÛwek;;;MszczonÛw;øyrardowski;mazowieckie
22-335;AdamÛwka;;;ØÛ≥kiewka;krasnostawski;lubelskie
28-236;AdamÛwka;;;Rytwiany;staszowski;úwiÍtokrzyskie
37-534;AdamÛwka;;;AdamÛwka;przeworski;podkarpackie
96-325;AdamÛw-Parcel;;;Radziejowice;øyrardowski;mazowieckie
96-325;AdamÛw-Wieú;;;Radziejowice;øyrardowski;mazowieckie
05-281;Adampol;;;JadÛw;wo≥omiÒski;mazowieckie
07-120;Adampol;;;Korytnica;wÍgrowski;mazowieckie
22-200;Adampol;;;Wyryki;w≥odawski;lubelskie
18-525;Adamusy;;;Turoúl;kolneÒski;podlaskie
07-230;Adelin;;;Zabrodzie;wyszkowski;mazowieckie
07-230;Adelin (Grzegorzewo);;;Zabrodzie;wyszkowski;mazowieckie
22-546;Adelina;;;Werbkowice;hrubieszowski;lubelskie
24-350;Adelina;;;Chodel;opolski;lubelskie
26-260;AdelinÛw;;;Fa≥kÛw;konecki;úwiÍtokrzyskie
97-330;AdelinÛw;;;SulejÛw;piotrkowski;≥Ûdzkie
22-130;Adolfin;;;Siedliszcze;che≥mski;lubelskie
26-670;Adolfin;;;Pionki;radomski;mazowieckie
97-340;AdolfinÛw;;;Rozprza;piotrkowski;≥Ûdzkie
62-068;Adolfowo;;;Rakoniewice;grodziski;wielkopolskie
08-322;AdolfÛw;;;CeranÛw;soko≥owski;mazowieckie
95-100;AdolfÛw;;;Zgierz;zgierski;≥Ûdzkie
26-330;Afryka;;;ØarnÛw;opoczyÒski;≥Ûdzkie
23-230;AgatÛwka;;;Trzydnik Duøy;kraúnicki;lubelskie
37-450;AgatÛwka;;;Zaleszany;stalowowolski;podkarpackie
09-227;Agnieszkowo;;;Szczutowo;sierpecki;mazowieckie
87-890;Agnieszkowo;;;Lubraniec;w≥oc≥awski;kujawsko-pomorskie
97-212;Agnopol;;;Budziszewice;tomaszowski;≥Ûdzkie
16-424;AgrafinÛwka;;;FilipÛw;suwalski;podlaskie
37-734;Aksmanice;;;Fredropol;przemyski;podkarpackie
26-067;Akwizgran;;;Strawczyn;kielecki;úwiÍtokrzyskie
62-065;Albertowsko;;;Grodzisk Wielkopolski;grodziski;wielkopolskie
21-013;AlbertÛw;;;PuchaczÛw;≥ÍczyÒski;lubelskie
42-165;AlbertÛw;;;Lipie;k≥obucki;úlπskie
62-700;AlbertÛw;;;Turek;turecki;wielkopolskie
95-083;AlbertÛw;;;Lutomiersk;pabianicki;≥Ûdzkie
97-217;AlbertÛw;;;Lubochnia;tomaszowski;≥Ûdzkie
97-221;AlbertÛw;;;Rokiciny;tomaszowski;≥Ûdzkie
37-122;Albigowa;;;£aÒcut;≥aÒcucki;podkarpackie
08-122;AlbinÛw;;;KotuÒ;siedlecki;mazowieckie
08-330;AlbinÛw;;;KosÛw Lacki;soko≥owski;mazowieckie
95-015;AlbinÛw;;;G≥owno;zgierski;≥Ûdzkie
23-450;AlbinÛw Duøy;;;Goraj;bi≥gorajski;lubelskie
23-450;AlbinÛw Ma≥y;;;Goraj;bi≥gorajski;lubelskie
05-192;Aleksandria;;4-6, 7-9(n), 12-15;Nowe Miasto;p≥oÒski;mazowieckie
09-120;Aleksandria;;8-10(p), 11, 31;Nowe Miasto;p≥oÒski;mazowieckie
62-874;Aleksandria;;;Brzeziny;kaliski;wielkopolskie
95-035;Aleksandria;;;OzorkÛw;zgierski;≥Ûdzkie
96-330;Aleksandria;;;Puszcza MariaÒska;øyrardowski;mazowieckie
42-274;Aleksandria (Aleksandria Druga);;;Konopiska;czÍstochowski;úlπskie
42-274;Aleksandria (Aleksandria Pierwsza);;;Konopiska;czÍstochowski;úlπskie
22-360;Aleksandria Krzywowolska;;;Rejowiec;che≥mski;lubelskie
22-360;Aleksandria Niedzia≥owska;;;Rejowiec;che≥mski;lubelskie
32-084;Aleksandrowice;;;ZabierzÛw;krakowski;ma≥opolskie
56-160;Aleksandrowice;;;WiÒsko;wo≥owski;dolnoúlπskie
86-022;Aleksandrowiec;;;Dobrcz;bydgoski;kujawsko-pomorskie
06-330;Aleksandrowo;;;Chorzele;przasnyski;mazowieckie
07-402;Aleksandrowo;;;Lelis;ostro≥Ícki;mazowieckie
07-405;Aleksandrowo;;;Troszyn;ostro≥Ícki;mazowieckie
09-440;Aleksandrowo;;;Staroüreby;p≥ocki;mazowieckie
12-250;Aleksandrowo;;;Orzysz;piski;warmiÒsko-mazurskie
16-423;Aleksandrowo;;;Baka≥arzewo;suwalski;podlaskie
16-503;Aleksandrowo;;;Krasnopol;sejneÒski;podlaskie
17-315;Aleksandrowo;;;Grodzisk;siemiatycki;podlaskie
62-120;Aleksandrowo;;;Wapno;wπgrowiecki;wielkopolskie
63-800;Aleksandrowo;;;GostyÒ;gostyÒski;wielkopolskie
64-308;Aleksandrowo;;;Rakoniewice;grodziski;wielkopolskie
64-400;Aleksandrowo;;;MiÍdzychÛd;miÍdzychodzki;wielkopolskie
86-022;Aleksandrowo;;;Dobrcz;bydgoski;kujawsko-pomorskie
87-880;Aleksandrowo;;;BrzeúÊ Kujawski;w≥oc≥awski;kujawsko-pomorskie
88-192;Aleksandrowo;;;Barcin;øniÒski;kujawsko-pomorskie
05-126;AleksandrÛw;;;NieporÍt;legionowski;mazowieckie
05-152;AleksandrÛw;;;CzosnÛw;nowodworski;mazowieckie
05-306;AleksandrÛw;;;JakubÛw;miÒski;mazowieckie
05-530;AleksandrÛw;;;GÛra Kalwaria;piaseczyÒski;mazowieckie
05-652;AleksandrÛw;;;Pniewy;grÛjecki;mazowieckie
08-450;AleksandrÛw;;;£askarzew;garwoliÒski;mazowieckie
09-540;AleksandrÛw;;;Sanniki;gostyniÒski;mazowieckie
21-400;AleksandrÛw;;;£ukÛw;≥ukowski;lubelskie
21-421;AleksandrÛw;;;Stanin;≥ukowski;lubelskie
23-275;AleksandrÛw;;;GoúcieradÛw;kraúnicki;lubelskie
23-408;AleksandrÛw;;;AleksandrÛw;bi≥gorajski;lubelskie
26-337;AleksandrÛw;;;AleksandrÛw;piotrkowski;≥Ûdzkie
26-510;AleksandrÛw;;;Chlewiska;szyd≥owiecki;mazowieckie
26-630;AleksandrÛw;;;Jedlnia-Letnisko;radomski;mazowieckie
26-811;AleksandrÛw;;;Wyúmierzyce;bia≥obrzeski;mazowieckie
26-910;AleksandrÛw;;;Magnuszew;kozienicki;mazowieckie
27-350;AleksandrÛw;;;Sienno;lipski;mazowieckie
28-340;AleksandrÛw;;;SÍdziszÛw;jÍdrzejowski;úwiÍtokrzyskie
28-425;AleksandrÛw;;;PiÒczÛw;piÒczowski;úwiÍtokrzyskie
42-140;AleksandrÛw;;;Panki;k≥obucki;úlπskie
42-230;AleksandrÛw;;;Koniecpol;czÍstochowski;úlπskie
46-320;AleksandrÛw;;;Praszka;oleski;opolskie
62-652;AleksandrÛw;;;ChodÛw;kolski;wielkopolskie
62-731;AleksandrÛw;;;Przykona;turecki;wielkopolskie
62-831;AleksandrÛw;;;Mycielin;kaliski;wielkopolskie
63-040;AleksandrÛw;;;Nowe Miasto nad Wartπ;úredzki;wielkopolskie
96-230;AleksandrÛw;;;Bia≥a Rawska;rawski;≥Ûdzkie
96-317;AleksandrÛw;;;Wiskitki;øyrardowski;mazowieckie
96-514;AleksandrÛw;;;Rybno;sochaczewski;mazowieckie
96-521;AleksandrÛw;;;I≥Ûw;sochaczewski;mazowieckie
97-225;AleksandrÛw;;;Ujazd;tomaszowski;≥Ûdzkie
97-360;AleksandrÛw;;;KamieÒsk;radomszczaÒski;≥Ûdzkie
97-438;AleksandrÛw;;;Rusiec;be≥chatowski;≥Ûdzkie
99-307;AleksandrÛw;;;Strzelce;kutnowski;≥Ûdzkie
99-319;AleksandrÛw;;;Øychlin;kutnowski;≥Ûdzkie
23-408;AleksandrÛw (AleksandrÛw Drugi);;;AleksandrÛw;bi≥gorajski;lubelskie
23-408;AleksandrÛw (AleksandrÛw Pierwszy);;;AleksandrÛw;bi≥gorajski;lubelskie
23-408;AleksandrÛw (AleksandrÛw Trzeci);;;AleksandrÛw;bi≥gorajski;lubelskie
27-350;AleksandrÛw Duøy;;;Sienno;lipski;mazowieckie
62-652;AleksandrÛw (Kocewia Ma≥a);;;ChodÛw;kolski;wielkopolskie
87-700;AleksandrÛw Kujawski;;;AleksandrÛw Kujawski;aleksandrowski;kujawsko-pomorskie
87-700;AleksandrÛw Kujawski (Halinowo);;;AleksandrÛw Kujawski;aleksandrowski;kujawsko-pomorskie
95-070;AleksandrÛw £Ûdzki;;;AleksandrÛw £Ûdzki;zgierski;≥Ûdzkie
28-340;AleksandrÛw (Sadki);;;SÍdziszÛw;jÍdrzejowski;úwiÍtokrzyskie
62-652;AleksandrÛw (Stawiska);;;ChodÛw;kolski;wielkopolskie
62-580;AleksandrÛwek;;;Grodziec;koniÒski;wielkopolskie
98-100;AleksandrÛwek;;;£ask;≥aski;≥Ûdzkie
99-150;AleksandrÛwek;;;GrabÛw;≥Íczycki;≥Ûdzkie
99-200;AleksandrÛwek;;;PoddÍbice;poddÍbicki;≥Ûdzkie
05-311;AleksandrÛwka;;;DÍbe Wielkie;miÒski;mazowieckie
05-622;AleksandrÛwka;;;Belsk Duøy;grÛjecki;mazowieckie
07-110;AleksandrÛwka;;;GrÍbkÛw;wÍgrowski;mazowieckie
16-411;AleksandrÛwka;;;Szypliszki;suwalski;podlaskie
21-140;AleksandrÛwka;;;MichÛw;lubartowski;lubelskie
21-450;AleksandrÛwka;;;Stoczek £ukowski;≥ukowski;lubelskie
21-570;AleksandrÛwka;;;DrelÛw;bialski;lubelskie
22-107;AleksandrÛwka;;;Sawin;che≥mski;lubelskie
23-320;AleksandrÛwka;;;Batorz;janowski;lubelskie
26-720;AleksandrÛwka;;;Policzna;zwoleÒski;mazowieckie
26-900;AleksandrÛwka;;;Kozienice;kozienicki;mazowieckie
42-248;AleksandrÛwka;;;PrzyrÛw;czÍstochowski;úlπskie
62-600;AleksandrÛwka;;;Ko≥o;kolski;wielkopolskie
99-321;AleksandrÛwka;;;Øychlin;kutnowski;≥Ûdzkie
21-450;AleksandrÛwka (Chrusty);;;Stoczek £ukowski;≥ukowski;lubelskie
09-500;AleksandrynÛw;;;Gostynin;gostyniÒski;mazowieckie
16-060;Aleksicze;;;Zab≥udÛw;bia≥ostocki;podlaskie
16-506;AleksiejÛwka;;;Giby;sejneÒski;podlaskie
05-604;Alfonsowo;;;Jasieniec;grÛjecki;mazowieckie
09-533;AlfonsÛw;;;S≥ubice;p≥ocki;mazowieckie
26-333;AlfonsÛw;;;Paradyø;opoczyÒski;≥Ûdzkie
98-105;AlfonsÛw;;;Wodzierady;≥aski;≥Ûdzkie
99-232;AlfonsÛw;;;Zadzim;poddÍbicki;≥Ûdzkie
39-460;AlfredÛwka;;;Nowa DÍba;tarnobrzeski;podkarpackie
62-540;Alinowo;;;Kleczew;koniÒski;wielkopolskie
22-122;AlojzÛw;;;Leúniowice;che≥mski;lubelskie
22-550;AlojzÛw;;;Werbkowice;hrubieszowski;lubelskie
27-100;AlojzÛw;;;I≥øa;radomski;mazowieckie
88-210;Altana;;;Dobre;radziejowski;kujawsko-pomorskie
96-500;Altanka;;;Sochaczew;sochaczewski;mazowieckie
66-439;Altona;;;Krzeszyce;sulÍciÒski;lubuskie
32-566;Alwernia;;;Alwernia;chrzanowski;ma≥opolskie
47-494;AmandÛw;;;Pietrowice Wielkie;raciborski;úlπskie
99-122;Ambroøew;;;GÛra åwiÍtej Ma≥gorzaty;≥Íczycki;≥Ûdzkie
27-225;AmbroøÛw;;;Paw≥Ûw;starachowicki;úwiÍtokrzyskie
06-212;Amelin;;;Krasnosielc;makowski;mazowieckie
21-132;Amelin;;;Kamionka;lubartowski;lubelskie
21-220;Amelin;;;SiemieÒ;parczewski;lubelskie
97-500;Amelin;;;Radomsko;radomszczaÒski;≥Ûdzkie
26-001;AmeliÛwka;;;Mas≥Ûw;kielecki;úwiÍtokrzyskie
89-200;Ameryczka;;;Szubin;nakielski;kujawsko-pomorskie
11-015;Ameryka;;;Olsztynek;olsztyÒski;warmiÒsko-mazurskie
22-530;Ameryka;;;Mircze;hrubieszowski;lubelskie
46-300;Ameryka;;;Olesno;oleski;opolskie
07-230;Anastazew;;;Zabrodzie;wyszkowski;mazowieckie
95-045;Anastazew;;;ParzÍczew;zgierski;≥Ûdzkie
62-436;Anastazewo;;;Powidz;s≥upecki;wielkopolskie
97-400;AnastazÛw;;;Be≥chatÛw;be≥chatowski;≥Ûdzkie
09-541;Anatolin;;;Pacyna;gostyniÒski;mazowieckie
17-210;Ancuty;;;Narew;hajnowski;podlaskie
95-020;Andrespol;;;Andrespol;≥Ûdzki wschodni;≥Ûdzkie
27-650;Andruszkowice;;;Samborzec;sandomierski;úwiÍtokrzyskie
34-120;AndrychÛw;;;AndrychÛw;wadowicki;ma≥opolskie
18-507;Andrychy;;;Grabowo;kolneÒski;podlaskie
17-111;Andryjanki;;;BoÊki;bielski;podlaskie
07-305;Andrzejewo;;;Andrzejewo;ostrowski;mazowieckie
16-411;Andrzejewo;;;Szypliszki;suwalski;podlaskie
07-305;Andrzejewo (Andrzejewo-Kolonie);;;Andrzejewo;ostrowski;mazowieckie
07-305;Andrzejewo (Andrzejewo-Zarzecze);;;Andrzejewo;ostrowski;mazowieckie
18-400;Andrzejki;;;£omøa;≥omøyÒski;podlaskie
18-400;Andrzejki (Pπczkowizna);;;£omøa;≥omøyÒski;podlaskie
07-407;Andrzejki-Tyszki;;;Czerwin;ostro≥Ícki;mazowieckie
05-088;AndrzejÛw;;;BrochÛw;sochaczewski;mazowieckie
22-113;AndrzejÛw;;;KamieÒ;che≥mski;lubelskie
22-234;AndrzejÛw;;;Urszulin;w≥odawski;lubelskie
23-302;AndrzejÛw;;;GodziszÛw;janowski;lubelskie
26-704;AndrzejÛw;;;Przy≥Ík;zwoleÒski;mazowieckie
97-438;AndrzejÛw;;;Rusiec;be≥chatowski;≥Ûdzkie
98-220;AndrzejÛw;;;ZduÒska Wola;zduÒskowolski;≥Ûdzkie
98-432;AndrzejÛw;;;£ubnice;wieruszowski;≥Ûdzkie
96-500;AndrzejÛw Duranowski;;;Sochaczew;sochaczewski;mazowieckie
22-530;AndrzejÛwka;;;Mircze;hrubieszowski;lubelskie
23-400;AndrzejÛwka;;;Bi≥goraj;bi≥gorajski;lubelskie
26-720;AndrzejÛwka;;;Policzna;zwoleÒski;mazowieckie
33-370;AndrzejÛwka;;;Muszyna;nowosπdecki;ma≥opolskie
22-234;AndrzejÛw-Osada;;;Urszulin;w≥odawski;lubelskie
05-192;Andzin;;;Nasielsk;nowodworski;mazowieckie
14-400;Anglity;;;Pas≥Ík;elblπski;warmiÒsko-mazurskie
89-620;Angowice;;;Chojnice;chojnicki;pomorskie
05-300;Anielew;;;MiÒsk Mazowiecki;miÒski;mazowieckie
62-510;Anielew;;;Kramsk;koniÒski;wielkopolskie
62-410;Anielewo;;;ZagÛrÛw;s≥upecki;wielkopolskie
62-543;Anielewo;;;Kazimierz Biskupi;koniÒski;wielkopolskie
87-327;Anielewo;;;Bobrowo;brodnicki;kujawsko-pomorskie
05-622;Anielin;;;Belsk Duøy;grÛjecki;mazowieckie
09-120;Anielin;;;Nowe Miasto;p≥oÒski;mazowieckie
09-500;Anielin;;;Gostynin;gostyniÒski;mazowieckie
23-235;Anielin;;;Annopol;kraúnicki;lubelskie
24-100;Anielin;;;Pu≥awy;pu≥awski;lubelskie
26-315;Anielin;;;PoúwiÍtne;opoczyÒski;≥Ûdzkie
26-640;Anielin;;;Skaryszew;radomski;mazowieckie
26-914;Anielin;;;Magnuszew;kozienicki;mazowieckie
26-930;Anielin;;;Garbatka-Letnisko;kozienicki;mazowieckie
62-817;Anielin;;;ØelazkÛw;kaliski;wielkopolskie
64-965;Anielin;;;Okonek;z≥otowski;wielkopolskie
87-851;Anielin;;;Boniewo;w≥oc≥awski;kujawsko-pomorskie
95-010;Anielin;;;StrykÛw;zgierski;≥Ûdzkie
97-525;Anielin;;;Wielgom≥yny;radomszczaÒski;≥Ûdzkie
98-100;Anielin;;;£ask;≥aski;≥Ûdzkie
98-313;Anielin;;;Konopnica;wieluÒski;≥Ûdzkie
99-306;Anielin;;;£aniÍta;kutnowski;≥Ûdzkie
26-315;Anielin (CeteÒ);;;PoúwiÍtne;opoczyÒski;≥Ûdzkie
26-315;Anielin (Fryszerka);;;PoúwiÍtne;opoczyÒski;≥Ûdzkie
95-010;Anielin SwÍdowski;;;StrykÛw;zgierski;≥Ûdzkie
05-306;Anielinek;;;JakubÛw;miÒski;mazowieckie
72-211;Anielino;;;Dobra;≥obeski;zachodniopomorskie
89-110;Anieliny;;;Sadki;nakielski;kujawsko-pomorskie
08-460;AnielÛw;;;Sobolew;garwoliÒski;mazowieckie
98-338;AnielÛw;;;Sulmierzyce;pajÍczaÒski;≥Ûdzkie
21-140;AnielÛwka;;;MichÛw;lubartowski;lubelskie
22-310;Anielpol;;;Kraúniczyn;krasnostawski;lubelskie
63-620;Anio≥ka Druga;;;Trzcinica;kÍpiÒski;wielkopolskie
63-620;Anio≥ka Pierwsza;;;Trzcinica;kÍpiÒski;wielkopolskie
63-620;Anio≥ka-Parcele;;;Trzcinica;kÍpiÒski;wielkopolskie
63-500;Anio≥ki;;;OstrzeszÛw;ostrzeszowski;wielkopolskie
14-400;Anio≥owo;;;Pas≥Ík;elblπski;warmiÒsko-mazurskie
82-440;Ankamaty;;;DzierzgoÒ;sztumski;pomorskie
63-200;Annapol;;;Jarocin;jarociÒski;wielkopolskie
99-311;AnnetÛw;;;Bedlno;kutnowski;≥Ûdzkie
21-100;AnnobÛr;;;LubartÛw;lubartowski;lubelskie
21-100;AnnobÛr-Kolonia;;;LubartÛw;lubartowski;lubelskie
64-520;AnnogÛra;;;Obrzycko;szamotulski;wielkopolskie
42-110;Annolesie;;;PopÛw;k≥obucki;úlπskie
97-438;Annolesie;;;Rusiec;be≥chatowski;≥Ûdzkie
05-282;Annopol;;;StrachÛwka;wo≥omiÒski;mazowieckie
05-620;Annopol;;;B≥ÍdÛw;grÛjecki;mazowieckie
06-300;Annopol;;;Przasnysz;przasnyski;mazowieckie
09-550;Annopol;;;Szczawin Koúcielny;gostyniÒski;mazowieckie
21-150;Annopol;;;Kock;lubartowski;lubelskie
22-114;Annopol;;;Ømudü;che≥mski;lubelskie
22-500;Annopol;;;HrubieszÛw;hrubieszowski;lubelskie
23-235;Annopol;;;Annopol;kraúnicki;lubelskie
62-850;Annopol;;;LiskÛw;kaliski;wielkopolskie
63-910;Annopol;;;Miejska GÛrka;rawicki;wielkopolskie
97-216;Annopol Duøy;;;Czerniewice;tomaszowski;≥Ûdzkie
63-022;Annopole;;;åroda Wielkopolska;úredzki;wielkopolskie
77-416;Annopole;;;TarnÛwka;z≥otowski;wielkopolskie
98-220;Annopole Nowe;;;ZduÒska Wola;zduÒskowolski;≥Ûdzkie
98-220;Annopole Stare;;;ZduÒska Wola;zduÒskowolski;≥Ûdzkie
96-232;Annos≥aw;;;RegnÛw;rawski;≥Ûdzkie
62-005;Annowo;;;Czerwonak;poznaÒski;wielkopolskie
86-330;Annowo;;;Gruta;grudziπdzki;kujawsko-pomorskie
87-890;Annowo;;;Lubraniec;w≥oc≥awski;kujawsko-pomorskie
88-410;Annowo;;;Gπsawa;øniÒski;kujawsko-pomorskie
89-210;Annowo;;;£abiszyn;øniÒski;kujawsko-pomorskie
23-155;AnnÛw;;;Zakrzew;lubelski;lubelskie
26-720;AnnÛw;;;Policzna;zwoleÒski;mazowieckie
97-216;AnnÛw;;;Czerniewice;tomaszowski;≥Ûdzkie
99-232;AnnÛw;;;Zadzim;poddÍbicki;≥Ûdzkie
21-150;AnnÛwka;;;Kock;lubartowski;lubelskie
62-831;AnnÛwka;;;Mycielin;kaliski;wielkopolskie
21-421;Anonin;;;Stanin;≥ukowski;lubelskie
63-820;AnteczkÛw;;;Piaski;gostyÒski;wielkopolskie
21-543;Antolin;;;KonstantynÛw;bialski;lubelskie
23-310;Antolin;;;Modliborzyce;janowski;lubelskie
97-212;Antolin;;;Budziszewice;tomaszowski;≥Ûdzkie
32-210;Antolka;;;Ksiπø Wielki;miechowski;ma≥opolskie
42-320;Antolka;;;Niegowa;myszkowski;úlπskie
19-520;Antomieszki;;;Banie Mazurskie;go≥dapski;warmiÒsko-mazurskie
07-438;Antonia;;;£yse;ostro≥Ícki;mazowieckie
12-114;Antonia;;;Rozogi;szczycieÒski;warmiÒsko-mazurskie
07-410;Antonie;;;Olszewo-Borki;ostro≥Ícki;mazowieckie
42-110;Antonie;;;PopÛw;k≥obucki;úlπskie
26-070;AntonielÛw;;;£opuszno;kielecki;úwiÍtokrzyskie
97-352;AntonielÛw;;;£Íki Szlacheckie;piotrkowski;≥Ûdzkie
95-015;Antoniew;;;G≥owno;zgierski;≥Ûdzkie
95-070;Antoniew;;;AleksandrÛw £Ûdzki;zgierski;≥Ûdzkie
95-083;Antoniew;;;Lutomiersk;pabianicki;≥Ûdzkie
96-315;Antoniew;;;Wiskitki;øyrardowski;mazowieckie
96-513;Antoniew;;;Nowa Sucha;sochaczewski;mazowieckie
99-311;Antoniew;;;Bedlno;kutnowski;≥Ûdzkie
99-311;Antoniew (WilkÍsy);;;Bedlno;kutnowski;≥Ûdzkie
74-510;Antoniewice;;;TrzciÒsko-ZdrÛj;gryfiÒski;zachodniopomorskie
