PNA;MIEJSCOWOå∆;ULICA;NUMERY;GMINA;POWIAT;WOJEW”DZTWO
07-300;OstrÛw Mazowiecka;Torowa;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Tysiπclecia;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Ugniewska;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-310;OstrÛw Mazowiecka;U≥anÛw;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Urocza;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-310;OstrÛw Mazowiecka;Waleczna;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Warszawska;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-310;OstrÛw Mazowiecka;Wπska;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Weso≥a;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Wiaduktowa;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Widna;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Widnichowska;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Wiejska;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;WileÒska;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Wincentego Witosa;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Wiosenna;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Wiúniowa;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Witaminowa;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;W≥adys≥awa Broniewskiego;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;W≥adys≥awa Reymonta;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Wodna;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Wojciecha Kossaka;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Wojska Polskiego;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;WÛjtowska;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-310;OstrÛw Mazowiecka;Wronia;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Wrzosowa;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Wschodnia;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;WspÛlna;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Wysoka;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Wyzwolenia;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Zachodnia;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Zaciszna;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Zawiszy Czarnego;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Zdrojowa;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Zielona;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Z≥ota;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Z≥otych K≥osÛw;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Zofii Na≥kowskiej;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;ZwyciÍstwa;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Øale;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-300;OstrÛw Mazowiecka;Øurawia;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-310;OstrÛw Mazowiecka;Øwirowa;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-310;OstrÛw Mazowiecka (Komorowo);Kolejowa;;OstrÛw Mazowiecka;ostrowski;mazowieckie
07-310;OstrÛw Mazowiecka (Komorowo);Spokojna;;OstrÛw Mazowiecka;ostrowski;mazowieckie
97-306;OstrÛw (OstrÛw-Cegielnia);;;Grabica;piotrkowski;≥Ûdzkie
98-100;OstrÛw (OstrÛwek);;;£ask;≥aski;≥Ûdzkie
16-120;OstrÛw Po≥udniowy;;;Krynki;sokÛlski;podlaskie
16-113;OstrÛw PÛ≥nocny;;;Szudzia≥owo;sokÛlski;podlaskie
32-711;OstrÛw Szlachecki;;;Bochnia;bocheÒski;ma≥opolskie
86-200;OstrÛw åwiecki;;;Che≥mno;che≥miÒski;kujawsko-pomorskie
98-290;OstrÛw Warcki;;;Warta;sieradzki;≥Ûdzkie
14-140;OstrÛw Wielki;;;Mi≥om≥yn;ostrÛdzki;warmiÒsko-mazurskie
63-400;OstrÛw Wielkopolski;;;OstrÛw Wielkopolski;ostrowski;wielkopolskie
26-060;OstrÛw (Wymys≥Ûw);;;ChÍciny;kielecki;úwiÍtokrzyskie
88-410;OstrÛwce;;;Gπsawa;øniÒski;kujawsko-pomorskie
05-205;OstrÛwek;;;KlembÛw;wo≥omiÒski;mazowieckie
05-254;OstrÛwek;;;DπbrÛwka;wo≥omiÒski;mazowieckie
05-480;OstrÛwek;;;Karczew;otwocki;mazowieckie
05-660;OstrÛwek;;;Warka;grÛjecki;mazowieckie
06-320;OstrÛwek;;;Baranowo;ostro≥Ícki;mazowieckie
07-132;OstrÛwek;;;£ochÛw;wÍgrowski;mazowieckie
07-207;OstrÛwek;;;Rzπúnik;wyszkowski;mazowieckie
08-103;OstrÛwek;;;Siedlce;siedlecki;mazowieckie
08-307;OstrÛwek;;;Repki;soko≥owski;mazowieckie
16-100;OstrÛwek;;;SokÛ≥ka;sokÛlski;podlaskie
16-113;OstrÛwek;;;Szudzia≥owo;sokÛlski;podlaskie
16-150;OstrÛwek;;;Suchowola;sokÛlski;podlaskie
17-132;OstrÛwek;;;Wyszki;bielski;podlaskie
21-013;OstrÛwek;;;PuchaczÛw;≥ÍczyÒski;lubelskie
21-102;OstrÛwek;;;OstrÛwek;lubartowski;lubelskie
22-375;OstrÛwek;;;Izbica;krasnostawski;lubelskie
22-554;OstrÛwek;;;Trzeszczany;hrubieszowski;lubelskie
39-307;OstrÛwek;;;Gaw≥uszowice;mielecki;podkarpackie
62-436;OstrÛwek;;;Orchowo;s≥upecki;wielkopolskie
62-610;OstrÛwek;;;Sompolno;koniÒski;wielkopolskie
62-730;OstrÛwek;;;Dobra;turecki;wielkopolskie
62-820;OstrÛwek;;;Stawiszyn;kaliski;wielkopolskie
76-020;OstrÛwek;;;Bobolice;koszaliÒski;zachodniopomorskie
77-220;OstrÛwek;;;Kocza≥a;cz≥uchowski;pomorskie
88-121;OstrÛwek;;;Kruszwica;inowroc≥awski;kujawsko-pomorskie
89-333;OstrÛwek;;;Wyrzysk;pilski;wielkopolskie
89-413;OstrÛwek;;;Soúno;sÍpoleÒski;kujawsko-pomorskie
98-220;OstrÛwek;;;ZduÒska Wola;zduÒskowolski;≥Ûdzkie
98-311;OstrÛwek;;;OstrÛwek;wieluÒski;≥Ûdzkie
98-405;OstrÛwek;;;Galewice;wieruszowski;≥Ûdzkie
99-150;OstrÛwek;;;GrabÛw;≥Íczycki;≥Ûdzkie
21-070;OstrÛwek Podyski;;;CycÛw;≥ÍczyÒski;lubelskie
21-013;OstrÛwek-Kolonia;;;MilejÛw;≥ÍczyÒski;lubelskie
21-102;OstrÛwek-Kolonia;;;OstrÛwek;lubartowski;lubelskie
05-480;OstrÛwiec;;;Karczew;otwocki;mazowieckie
63-600;OstrÛwiec;;;KÍpno;kÍpiÒski;wielkopolskie
05-530;OstrÛwik;;;GÛra Kalwaria;piaseczyÒski;mazowieckie
26-713;OstrÛwka;;;KazanÛw;zwoleÒski;mazowieckie
05-311;OstrÛw-Kania;;;DÍbe Wielkie;miÒski;mazowieckie
16-060;OstrÛwki;;;Zab≥udÛw;bia≥ostocki;podlaskie
21-310;OstrÛwki;;;WohyÒ;radzyÒski;lubelskie
64-840;OstrÛwki;;;BudzyÒ;chodzieski;wielkopolskie
99-352;OstrÛwki;;;Dπbrowice;kutnowski;≥Ûdzkie
21-310;OstrÛwki (Bliøsza);;;WohyÒ;radzyÒski;lubelskie
21-310;OstrÛwki (BÛjkÛw);;;WohyÒ;radzyÒski;lubelskie
21-310;OstrÛwki (DzieleÒkÛw);;;WohyÒ;radzyÒski;lubelskie
21-310;OstrÛwki (Lipiec);;;WohyÒ;radzyÒski;lubelskie
21-310;OstrÛwki (Piszczyny);;;WohyÒ;radzyÒski;lubelskie
21-310;OstrÛwki (PrzeciÍtka);;;WohyÒ;radzyÒski;lubelskie
22-120;OstrÛw-Kolonia;;;Wojs≥awice;che≥mski;lubelskie
23-212;OstrÛw-Kolonia;;;Wilko≥az;kraúnicki;lubelskie
98-100;OstrÛw-Osiedle;;;£ask;≥aski;≥Ûdzkie
83-050;OstrÛøki;;;Kolbudy;gdaÒski;pomorskie
33-190;Ostrusza;;;CiÍøkowice;tarnowski;ma≥opolskie
11-130;Ostry KamieÒ;;;Orneta;lidzbarski;warmiÒsko-mazurskie
11-410;Ostry RÛg;;;KÍtrzyn;kÍtrzyÒski;warmiÒsko-mazurskie
08-470;OstrybÛr;;;Wilga;garwoliÒski;mazowieckie
08-470;OstrybÛr (MalinÛwka);;;Wilga;garwoliÒski;mazowieckie
98-360;Ostrycharze;;;LututÛw;wieruszowski;≥Ûdzkie
19-335;OstrykÛ≥;;;Prostki;e≥cki;warmiÒsko-mazurskie
07-210;OstrykÛ≥ Dworski;;;D≥ugosiod≥o;wyszkowski;mazowieckie
07-210;OstrykÛ≥ W≥oúciaÒski;;;D≥ugosiod≥o;wyszkowski;mazowieckie
16-130;Ostrynka;;;JanÛw;sokÛlski;podlaskie
16-326;OstryÒskie;;;P≥aska;augustowski;podlaskie
77-310;Ostrza;;;Debrzno;cz≥uchowski;pomorskie
06-150;Ostrzeniewo;;;åwiercze;pu≥tuski;mazowieckie
10-687;Ostrzeszewo;;;Purda;olsztyÒski;warmiÒsko-mazurskie
63-500;OstrzeszÛw;;;OstrzeszÛw;ostrzeszowski;wielkopolskie
63-500;OstrzeszÛw-Pustkowie;;;OstrzeszÛw;ostrzeszowski;wielkopolskie
22-375;Ostrzyca;;;Izbica;krasnostawski;lubelskie
72-211;Ostrzyca;;;Nowogard;goleniowski;zachodniopomorskie
66-132;Ostrzyce;;;TrzebiechÛw;zielonogÛrski;lubuskie
83-311;Ostrzyce;;;Somonino;kartuski;pomorskie
83-311;Ostrzyce (Koszowatka);;;Somonino;kartuski;pomorskie
83-311;Ostrzyce (Rokitki);;;Somonino;kartuski;pomorskie
09-440;Ostrzykowo;;;Staroüreby;p≥ocki;mazowieckie
09-440;OstrzykÛwek;;;Staroüreby;p≥ocki;mazowieckie
26-713;OsuchÛw;;;KazanÛw;zwoleÒski;mazowieckie
26-803;OsuchÛw;;;Promna;bia≥obrzeski;mazowieckie
62-840;OsuchÛw;;;Koüminek;kaliski;wielkopolskie
96-323;OsuchÛw;;;MszczonÛw;øyrardowski;mazowieckie
62-840;OsuchÛw (OsuchÛw-Parcela);;;Koüminek;kaliski;wielkopolskie
23-412;Osuchy;;;£ukowa;bi≥gorajski;lubelskie
63-700;Osusz;;;Krotoszyn;krotoszyÒski;wielkopolskie
77-130;Osusznica;;;Lipnica;bytowski;pomorskie
62-840;Oszczeklin;;;Koüminek;kaliski;wielkopolskie
21-411;Oszczepalin Drugi;;;WojcieszkÛw;≥ukowski;lubelskie
21-411;Oszczepalin Pierwszy;;;WojcieszkÛw;≥ukowski;lubelskie
07-110;Oszczerze;;;GrÍbkÛw;wÍgrowski;mazowieckie
22-540;OszczÛw;;;Do≥hobyczÛw;hrubieszowski;lubelskie
22-540;OszczÛw-Kolonia;;;Do≥hobyczÛw;hrubieszowski;lubelskie
08-500;Oszczywilk;;;Ryki;rycki;lubelskie
88-231;Oszczywilk;;;BytoÒ;radziejowski;kujawsko-pomorskie
16-515;Oszkinie;;;PuÒsk;sejneÒski;podlaskie
99-423;Oszkowice;;;Bielawy;≥owicki;≥Ûdzkie
46-282;Oú;;;Lasowice Wielkie;kluczborski;opolskie
72-306;OúciÍcin;;;Gryfice;gryficki;zachodniopomorskie
72-306;OúciÍcin (Pod≥Ícze);;;Gryfice;gryficki;zachodniopomorskie
06-452;Oúcis≥owo;;;Glinojeck;ciechanowski;mazowieckie
62-550;Oúcis≥owo;;;Wilczyn;koniÒski;wielkopolskie
87-600;Oúmia≥owo;;;Lipno;lipnowski;kujawsko-pomorskie
06-425;Oúnica;;;Karniewo;makowski;mazowieckie
05-155;Oúniki;;;Leoncin;nowodworski;mazowieckie
88-133;Oúniszczewko;;;Dπbrowa Biskupia;inowroc≥awski;kujawsko-pomorskie
88-133;Oúniszczewo;;;Dπbrowa Biskupia;inowroc≥awski;kujawsko-pomorskie
57-120;Oúno;;;WiπzÛw;strzeliÒski;dolnoúlπskie
82-500;Oúno;;;Kwidzyn;kwidzyÒski;pomorskie
87-700;Oúno;;;AleksandrÛw Kujawski;aleksandrowski;kujawsko-pomorskie
88-430;Oúno;;;Janowiec Wielkopolski;øniÒski;kujawsko-pomorskie
87-700;Oúno Drugie;;;AleksandrÛw Kujawski;aleksandrowski;kujawsko-pomorskie
62-610;Oúno GÛrne;;;Sompolno;koniÒski;wielkopolskie
62-610;Oúno GÛrne (Oúno Dolne);;;Sompolno;koniÒski;wielkopolskie
69-220;Oúno Lubuskie;;;Oúno Lubuskie;s≥ubicki;lubuskie
69-220;Oúno Lubuskie (Dolina Leúna);;;Oúno Lubuskie;s≥ubicki;lubuskie
32-600;OúwiÍcim;;;OúwiÍcim;oúwiÍcimski;ma≥opolskie
63-505;OúwiÍcim;;;DoruchÛw;ostrzeszowski;wielkopolskie
73-120;Oúwino;;;Chociwel;stargardzki;zachodniopomorskie
05-640;Otalπø;;;Mogielnica;grÛjecki;mazowieckie
05-640;Otalπøka;;;Mogielnica;grÛjecki;mazowieckie
39-306;Ota≥Íø;;;Czermin;mielecki;podkarpackie
74-300;OtanÛw;;;MyúlibÛrz;myúliborski;zachodniopomorskie
11-311;Oterki;;;Kolno;olsztyÒski;warmiÒsko-mazurskie
33-250;OtfinÛw;;;Øabno;tarnowski;ma≥opolskie
87-700;Ot≥oczyn;;;AleksandrÛw Kujawski;aleksandrowski;kujawsko-pomorskie
82-520;Ot≥owiec;;;Gardeja;kwidzyÒski;pomorskie
82-520;Ot≥owiec (Osadniki);;;Gardeja;kwidzyÒski;pomorskie
82-520;Ot≥Ûwko;;;Gardeja;kwidzyÒski;pomorskie
87-851;Otmianowo;;;Boniewo;w≥oc≥awski;kujawsko-pomorskie
47-180;Otmice;;;Izbicko;strzelecki;opolskie
48-385;OtmuchÛw;;;OtmuchÛw;nyski;opolskie
77-116;Otnoga;;;Czarna DπbrÛwka;bytowski;pomorskie
77-116;Otnoga (DÍby);;;Czarna DπbrÛwka;bytowski;pomorskie
77-116;Otnoga (Zawiat);;;Czarna DπbrÛwka;bytowski;pomorskie
62-302;Otoczna;;;Wrzeúnia;wrzesiÒski;wielkopolskie
87-510;Otocznia;;;Skrwilno;rypiÒski;kujawsko-pomorskie
82-520;Otoczyn;;;Gardeja;kwidzyÒski;pomorskie
59-700;Otok;;;Boles≥awiec;boles≥awiecki;dolnoúlπskie
72-313;Otok;;;Gryfice;gryficki;zachodniopomorskie
98-358;Otok;;;Kie≥czyg≥Ûw;pajÍczaÒski;≥Ûdzkie
99-232;Otok;;;Zadzim;poddÍbicki;≥Ûdzkie
27-670;Otoka;;;£oniÛw;sandomierski;úwiÍtokrzyskie
48-210;Otoki;;;Bia≥a;prudnicki;opolskie
48-210;Otoki (Kolonia Otocka);;;Bia≥a;prudnicki;opolskie
42-439;Otola;;;Øarnowiec;zawierciaÒski;úlπskie
42-439;Otola Ma≥a;;;Øarnowiec;zawierciaÒski;úlπskie
12-130;Otole;;;Pasym;szczycieÒski;warmiÒsko-mazurskie
99-400;Otolice;;;£owicz;≥owicki;≥Ûdzkie
80-174;Otomin;;;Kolbudy;gdaÒski;pomorskie
83-330;Otomino;;;Øukowo;kartuski;pomorskie
64-551;Otorowo;;;Szamotu≥y;szamotulski;wielkopolskie
86-050;Otorowo;;;Solec Kujawski;bydgoski;kujawsko-pomorskie
64-551;Otorowo (Kamionka);;;Szamotu≥y;szamotulski;wielkopolskie
64-551;Otorowo (Mielno);;;Szamotu≥y;szamotulski;wielkopolskie
64-551;Otorowo (PoúwiÍtne);;;Szamotu≥y;szamotulski;wielkopolskie
64-551;Otorowo (Wincentowo);;;Szamotu≥y;szamotulski;wielkopolskie
87-410;Otoruda;;;Kowalewo Pomorskie;golubsko-dobrzyÒski;kujawsko-pomorskie
86-070;Otowice;;;Dπbrowa Che≥miÒska;bydgoski;kujawsko-pomorskie
62-080;Otowo;;;Tarnowo PodgÛrne;poznaÒski;wielkopolskie
63-800;OtÛwko;;;GostyÒ;gostyÒski;wielkopolskie
13-306;OtrÍba;;;KurzÍtnik;nowomiejski;warmiÒsko-mazurskie
05-805;OtrÍbusy;;;BrwinÛw;pruszkowski;mazowieckie
72-200;OtrÍby;;;Nowogard;goleniowski;zachodniopomorskie
23-305;Otrocz;;;ChrzanÛw;janowski;lubelskie
11-311;Otry;;;Kolno;olsztyÒski;warmiÒsko-mazurskie
78-531;Otrzep;;;Wierzchowo;drawski;zachodniopomorskie
64-320;Otusz;;;Buk;poznaÒski;wielkopolskie
64-320;Otusz (JÛzefowo);;;Buk;poznaÒski;wielkopolskie
05-400;Otwock;11 Listopada;;Otwock;otwocki;mazowieckie
05-400;Otwock;3 Maja;;Otwock;otwocki;mazowieckie
05-400;Otwock;Adama Asnyka;;Otwock;otwocki;mazowieckie
05-402;Otwock;Adama Mickiewicza;;Otwock;otwocki;mazowieckie
05-400;Otwock;Al. Gen. W≥adys≥awa Sikorskiego;;Otwock;otwocki;mazowieckie
05-400;Otwock;Aleja RÛø;;Otwock;otwocki;mazowieckie
05-400;Otwock;Aleksandra Fredry;;Otwock;otwocki;mazowieckie
05-402;Otwock;Ambasadorska;;Otwock;otwocki;mazowieckie
05-400;Otwock;Andrzeja Kmicica;;Otwock;otwocki;mazowieckie
05-400;Otwock;Andrzeja So≥tana;;Otwock;otwocki;mazowieckie
05-400;Otwock;Andrzeja Struga;;Otwock;otwocki;mazowieckie
05-400;Otwock;Antoniego Obarskiego;;Otwock;otwocki;mazowieckie
05-400;Otwock;Armii Krajowej;;Otwock;otwocki;mazowieckie
05-402;Otwock;B. Czecha;;Otwock;otwocki;mazowieckie
05-400;Otwock;Bagnista;;Otwock;otwocki;mazowieckie
05-402;Otwock;Bajkowa;;Otwock;otwocki;mazowieckie
05-400;Otwock;Bartosza;;Otwock;otwocki;mazowieckie
05-402;Otwock;Baúniowa;;Otwock;otwocki;mazowieckie
05-400;Otwock;BatalionÛw Ch≥opskich;;Otwock;otwocki;mazowieckie
05-400;Otwock;BernardyÒska;;Otwock;otwocki;mazowieckie
05-400;Otwock;Bia≥o≥Ícka;;Otwock;otwocki;mazowieckie
05-402;Otwock;BillewiczÛwny;;Otwock;otwocki;mazowieckie
05-400;Otwock;Biruty;;Otwock;otwocki;mazowieckie
05-400;Otwock;Bociania;;Otwock;otwocki;mazowieckie
05-400;Otwock;Boczna;;Otwock;otwocki;mazowieckie
05-402;Otwock;Boles≥awa Chrobrego;;Otwock;otwocki;mazowieckie
05-400;Otwock;Boles≥awa Prusa;;Otwock;otwocki;mazowieckie
05-400;Otwock;Borowa;;Otwock;otwocki;mazowieckie
05-400;Otwock;Bracka;;Otwock;otwocki;mazowieckie
05-400;Otwock;Braniewska;;Otwock;otwocki;mazowieckie
05-400;Otwock;Bronis≥awa Lachowicza;;Otwock;otwocki;mazowieckie
05-400;Otwock;BudrysÛw;;Otwock;otwocki;mazowieckie
05-400;Otwock;Chabrowa;;Otwock;otwocki;mazowieckie
05-400;Otwock;Che≥mska;;Otwock;otwocki;mazowieckie
05-400;Otwock;Ch≥odna;;Otwock;otwocki;mazowieckie
05-400;Otwock;Ciasna;;Otwock;otwocki;mazowieckie
05-400;Otwock;Cicha;;Otwock;otwocki;mazowieckie
05-400;Otwock;CieszyÒska;;Otwock;otwocki;mazowieckie
05-400;Otwock;Cisowa;;Otwock;otwocki;mazowieckie
05-400;Otwock;Cypriana Kamila Norwida;;Otwock;otwocki;mazowieckie
05-400;Otwock;Czerska;;Otwock;otwocki;mazowieckie
05-400;Otwock;Danuty;;Otwock;otwocki;mazowieckie
05-400;Otwock;dr. JÛzefa Geislera;;Otwock;otwocki;mazowieckie
05-400;Otwock;dr. W≥adys≥awa Przygody;;Otwock;otwocki;mazowieckie
05-400;Otwock;Dywizjonu 303;;Otwock;otwocki;mazowieckie
