,Kod_TERYT,nazwa_samorządu,Województwo,Powiat,typ_JST,nazwa_urzędu_JST,miejscowość,Kod pocztowy,poczta,Ulica,Nr domu,telefon kierunkowy,telefon,telefon 2,wewnętrzny,FAX kierunkowy,FAX,FAX wewnętrzny,ogólny adres poczty elektronicznej gminy/powiatu/województwa,adres www jednostki,ESP,adresy email
22,0208011,Duszniki-Zdrój,dolnośląskie,kłodzki,GM,Urząd Miasta Duszniki-Zdrój,Duszniki-Zdrój,57-340,Duszniki Zdrój,ul. Rynek,6,74,8697660,,,74,8669025,,bp@duszniki.pl,www.duszniki.pl,/UM_Duszniki/skrytka,bp@duszniki.pl
23,0214042,Dziadowa Kłoda,dolnośląskie,oleśnicki,GW,Urząd Gminy Dziadowa Kłoda,Dziadowa Kłoda,56-504,Dziadowa Kłoda,ul. Oleśnicka,1,62,7869280,,,62,7851808,,urzad.gminy@dziadowakloda.pl,www.dziadowakloda.pl,/9193phgnat/skrytka,urzad.gminy@dziadowakloda.pl
24,0202021,Dzierżoniów,dolnośląskie,dzierżoniowski,GM,Urząd Miasta Dzierżoniów,Dzierżoniów,58-200,Dzierżoniów,ul. Rynek,1,74,6450800,,,74,6415530,,um@um.dzierzoniow.pl,www.dzierzoniow.pl,/axtu16y71b/skrytka,um@um.dzierzoniow.pl
25,0202052,Dzierżoniów,dolnośląskie,dzierżoniowski,GW,Urząd Gminy Dzierżoniów,Dzierżoniów,58-200,Dzierżoniów,ul. Piastowska,1,74,8325695,,,74,8325694,,sekretariat@ug.dzierzoniow.pl,www.ug.dzierzoniow.pl,/9218istmhk/skrytka,sekretariat@ug.dzierzoniow.pl
26,0216022,Gaworzyce,dolnośląskie,polkowicki,GW,Urząd Gminy Gaworzyce,Gaworzyce,59-180,Gaworzyce,ul. Dworcowa,95,76,8316285,,37,76,8316286,,ug@gaworzyce.com.pl,www.gaworzyce.com.pl,/45ibv62lo3/skrytka,ug@gaworzyce.com.pl
27,0203011,Głogów,dolnośląskie,głogowski,GM,Urząd Miejski w Głogowie,Głogów,67-200,Głogów,Rynek,10,76,7265400,,,76,7265599,,sekretariat@glogow.um.gov.pl,www.glogow.pl,/iv9490xtvc/skrytka,sekretariat@glogow.um.gov.pl
28,0203022,Głogów,dolnośląskie,głogowski,GW,Urząd Gminy Głogów,Głogów,67-200,Głogów,ul. Piaskowa,1,76,8365555,,,76,8365567,,gmina@ugglogow.com.pl,www.ugglogow.com.pl,/8273okiigo/skrytka,gmina@ugglogow.com.pl
29,0221053,Głuszyca,dolnośląskie,wałbrzyski,GMW,Urząd Miejski w Głuszycy,Głuszyca,58-340,Głuszyca,ul. Grunwaldzka,55,74,8459479,,,74,8456339,,sekretariat@gluszyca.pl,www.gluszyca.pl,/h70hkb30hg/skrytka,sekretariat@gluszyca.pl
30,0204013,Góra,dolnośląskie,górowski,GMW,Urząd Miasta i Gminy w Górze,Góra,56-200,Góra,ul. Mickiewicza,1,65,5443600,,,65,5432658,,umig.kancelaria@gora.com.pl,www.gora.com.pl,/UMiGGora/skrytka,umig.kancelaria@gora.com.pl
31,0216032,Grębocice,dolnośląskie,polkowicki,GW,Urząd Gminy Grębocice,Grębocice,59-150,Grębocice,ul. Głogowska,3,76,8315501,,,76,8315077,,sekretariat@grebocice.com.pl,www.grebocice.com.pl,/jglv12o443/skrytka,sekretariat@grebocice.com.pl
32,0201032,Gromadka,dolnośląskie,bolesławiecki,GW,Urząd Gminy Gromadka,Gromadka,59-706,Gromadka,ul. gen. Wł. Sikorskiego,9,75,"7382452
",,,75,7382472,,gmina@gromadka.pl,www.gromadka.pl,/5w31xn3vat/skrytka,gmina@gromadka.pl
33,0212013,Gryfów Śląski,dolnośląskie,lwówecki,GMW,Urząd Gminy i Miasta Gryfów Śląski,Gryfów Śląski,59-620,Gryfów Śląski,Rynek,1,75,7813552,,,75,7813916,,sekretariat@gryfow.pl,www.gryfow.pl,/8tj6jsp01z/skrytka,sekretariat@gryfow.pl
34,0206052,Janowice Wielkie,dolnośląskie,karkonoski,GW,Urząd Gminy Janowice Wielkie,Janowice Wielkie,58-520,Janowice Wielkie,ul. Kolejowa,2,75,7515124,,103,75,7515285,,gmina@janowicewielkie.eu,www.janowicewielkie.pl,/JanowiceWielkie/skrytka,gmina@janowicewielkie.eu
35,0205011,Jawor,dolnośląskie,jaworski,GM,Urząd Miasta Jawor,Jawor,59-400,Jawor,Rynek,1,76,8702021,,,76,8702202,,um@jawor.pl,www.jawor.pl,/Jawor/skrytka,um@jawor.pl
36,0219043,Jaworzyna Śląska,dolnośląskie,świdnicki,GMW,Urząd Miejski w Jaworzynie Śląskiej,Jaworzyna Śląska,58-140,Jaworzyna Śląska,ul. Wolności,9,74,8588230,,,74,8588253,,urzad@jaworzyna.net,www.jaworzyna.net,/7mi782ibur/skrytkaESP,urzad@jaworzyna.net
37,0221021,Jedlina-Zdrój,dolnośląskie,wałbrzyski,GM,Urząd Miasta Jedlina-Zdrój,Jedlina-Zdrój,58-330,Jedlina-Zdrój,ul. Poznańska,2,74,8455215,,,74,8510980,,urzad@jedlinazdroj.eu,www.jedlinazdroj.eu,/jhqey7618i/skrytka,urzad@jedlinazdroj.eu
38,0215033,Jelcz-Laskowice,dolnośląskie,oławski,GMW,Urząd Miasta i Gminy Jelcz-Laskowice,Jelcz-Laskowice,55-220,Jelcz-Laskowice,ul. Wincentego Witosa,24,71,3817100,,,71,3817111,,um.sekretariat@jelcz-laskowice.pl,www.jelcz-laskowice.pl,/UMiG_Jelcz-Laskowice/skrytka,um.sekretariat@jelcz-laskowice.pl
39,0261011,Jelenia Góra,dolnośląskie,karkonoski,MNP,Urząd Miasta Jelenia Góra,Jelenia Góra,58-500,Jelenia Góra,Pl. Ratuszowy,58,75,7546101,,,75,7546159,,wom@jeleniagora.pl,www.jeleniagora.pl,/UMJG/skrytka,wom@jeleniagora.pl
40,0204022,Jemielno,dolnośląskie,górowski,GW,Urząd Gminy Jemielno,Jemielno,56-209,Jemielno,Jemielno,81,65,5447479,,,65,5447482,,ugjemielno@poczta.onet.pl,www.jemielno.pl,/UGJemielno/skrytka,ugjemielno@poczta.onet.pl
41,0203032,Jerzmanowa,dolnośląskie,głogowski,GW,Urząd Gminy Jerzmanowa,Jerzmanowa,67-222,Jerzmanowa,ul. Lipowa,4,76,8312121,,,76,8312119,,sekretariat@jerzmanowa.com.pl,www.jerzmanowa.com.pl,/xo4868ilgy/skrytka,sekretariat@jerzmanowa.com.pl
42,0206062,Jeżów Sudecki,dolnośląskie,karkonoski,GW,Urząd Gminy Jeżów Sudecki,Jeżów Sudecki,58-521,Jeżów Sudecki,ul. Długa,63,75,7132254,,120,75,7132255,,gmina@jezowsudecki.pl,www.jezowsudecki.pl,/jezowsudecki/skrytka,gmina@jezowsudecki.pl
43,0223032,Jordanów Śląski,dolnośląskie,wrocławski,GW,Urząd Gminy Jordanów Śląski,Jordanów Śląski,55-065,Jordanów Śląski,ul. Wrocławska,55,71,3911580,,,71,3911590,,ug@jordanowslaski.pl,www.jordanowslaski.pl,/u755mulo9b/skrytka,ug@jordanowslaski.pl
44,0224033,Kamieniec Ząbkowicki,dolnośląskie,ząbkowicki,GMW,Urząd Gminy Kamieniec Ząbkowicki,Kamieniec Ząbkowicki,57-230,Kamieniec Ząbkowicki,ul. Ząbkowicka,26,74,8162010,,,74,8173361,,gmina@kamienieczabkowicki.eu,www.kamienieczabkowicki.eu,/ugkamzab/skrytka,gmina@kamienieczabkowicki.eu
45,0207011,Kamienna Góra,dolnośląskie,kamiennogórski,GM,Urząd Miasta Kamienna Góra,Kamienna Góra,58-400,Kamienna Góra,PL. Grunwaldzki,1,75,6455110,,,75,6455150,,sekretariat@kamiennagora.pl,www.kamiennagora.pl,/GMKG/SkrytkaEsp,sekretariat@kamiennagora.pl
46,0207022,Kamienna Góra,dolnośląskie,kamiennogórski,GW,Urząd Gminy Kamienna Góra,Kamienna Góra,58-400,Kamienna Góra,Al. Wojska Polskiego,10,75,6106292,,,75,7442857,,urzad@gminakg.pl,www.kamiennagora.kei.pl,/9evg66kr5c/skrytka,urzad@gminakg.pl
47,0206011,Karpacz,dolnośląskie,karkonoski,GM,Urząd Miejski w Karpaczu,Karpacz,58-540,Karpacz,ul. Konstytucji 3 Maja,54,75,7619150,,,75,7619224,,kancelaria@karpacz.eu,www.karpacz.pl,/qa70hiw89b/skrytka,kancelaria@karpacz.eu
48,0223043,Kąty Wrocławskie,dolnośląskie,wrocławski,GMW,Urząd Miasta i Gminy w Kątach Wrocławskich,Kąty Wrocławskie,55-080,Kąty Wrocławskie,Rynek - Ratusz,1,71,3907200,,,71,3907201,,urzad@katywroclawskie.pl,www.katywroclawskie.pl,/176t8jpqcv/skrytka,urzad@katywroclawskie.pl
49,0208021,Kłodzko,dolnośląskie,kłodzki,GM,Urząd Miasta Kłodzko,Kłodzko,57-300,Kłodzko,pl. Bolesława Chrobrego,1,74,8654600,,,74,8674062,,umklod@um.klodzko.pl,www.um.klodzko.pl,/UMKlodzko/skrytka,umklod@um.klodzko.pl
50,0208072,Kłodzko,dolnośląskie,kłodzki,GW,Urząd Gminy Kłodzko,Kłodzko,57-300,Kłodzko,ul. Okrzei,8a,74,6474100,,104,74,6474103,,ug@gmina.klodzko.pl,www.gmina.klodzko.pl,/ugklodzko/skrytka,ug@gmina.klodzko.pl
51,0223052,Kobierzyce,dolnośląskie,wrocławski,GW,Urząd Gminy Kobierzyce,Kobierzyce,55-040,Kobierzyce,al. Pałacowa,1,71,3698130,,,71,3111252,,info@ugk.pl,www.ugk.pl,/j6q843wemo/skrytka,info@ugk.pl
52,0217022,Kondratowice,dolnośląskie,strzeliński,GW,Urząd Gminy Kondratowice,Kondratowice,57-150,Prusy,ul. Nowa,1,71,3926060,,,71,3926021,,sekretariat@kondratowice.pl,www.kondratowice.pl,/kondratowice/skrytka,sekretariat@kondratowice.pl
53,0218012,Kostomłoty,dolnośląskie,średzki,GW,Urząd Gminy Kostomłoty,Kostomłoty,55-311,Kostomłoty,ul. Ślężna,2,71,3170283,,,71,3170287,,gmina@kostomloty.pl,www.kostomloty.pl,/ljh32d3x0r/skrytka,gmina@kostomloty.pl
54,0203042,Kotla,dolnośląskie,głogowski,GW,Urząd Gminy Kotla,Kotla,67-240,Kotla,ul. Głogowska,93,76,8318361,,,76,8318308,,gmina@kotla.pl,www.kotla.pl,/tr4uv1j34o/skrytka,gmina@kotla.pl
55,0206021,Kowary,dolnośląskie,karkonoski,GM,Urząd Miejski Kowary,Kowary,58-530,Kowary,ul.1 Maja,1a,75,6439222,,,75,7613173,,bok@kowary.pl,www.kowary.pl,/fw351fy5s7/skrytka,bok@kowary.pl
56,0213022,Krośnice,dolnośląskie,milicki,GW,Urząd Gminy Krośnice,Krośnice,56-320,Krośnice,ul. Sportowa,4,71,3846000,,,71,3846015,,sekretariat@ug.krosnice.pl,www.krosnice.pl,/8da85r4prv/skrytka,sekretariat@ug.krosnice.pl
57,0209032,Krotoszyce,dolnośląskie,legnicki,GW,Urząd Gminy Krotoszyce,Krotoszyce,59-223,Krotoszyce,ul. Piastowska,46,76,8878422,,,76,7434193,,ug@krotoszyce.pl,www.krotoszyce.pl,/Urzad_gminy_krotoszyce/skrytka,ug@krotoszyce.pl
58,0208031,Kudowa-Zdrój,dolnośląskie,kłodzki,GM,Urząd Miasta Kudowa-Zdrój,Kudowa-Zdrój,57-350,Kudowa-Zdrój,ul. Zdrojowa,24,74,8661926,,,74,8661351,,kudowa@kudowa.pl,www.kudowa.pl,/Urzad_Kudowa/skrytka,kudowa@kudowa.pl
59,0209042,Kunice,dolnośląskie,legnicki,GW,Urząd Gminy Kunice,Kunice,59-216,Kunice,ul. Gwarna,1,76,8575322,,,76,8575482,,kunice@kunice.pl,www.kunice.pl,/2v16ucnu8x/skrytka,kunice@kunice.pl
60,0208083,Lądek-Zdrój,dolnośląskie,kłodzki,GMW,Urząd Miasta i Gminy w Lądku-Zdroju,Lądek-Zdrój,57-540,Lądek-Zdrój,ul. Rynek,31,74,8117850,,,74,8147418,,umig@ladek.pl,www.ladek.pl,/UMIGLZ/skrytka,umig@ladek.pl
61,0262011,Legnica,dolnośląskie,legnicki,MNP,Urząd Miasta Legnica,Legnica,59-220,Legnica,Plac Słowiański,8,76,7212199,,,76,7212115,,kancelaria@legnica.eu,www.legnica.eu,/GminaLegnica/skrytka,kancelaria@legnica.eu
62,0209052,Legnickie Pole,dolnośląskie,legnicki,GW,Urząd Gminy Legnickie Pole,Legnickie Pole,59-241,Legnickie Pole,ul. Kiliana Ignacego Dientzenhofera,1,76,8582810,,,76,8582812,,sekretariat@legnickiepole.pl,www.legnickiepole.pl,/0x9ekme31w/skrytka,sekretariat@legnickiepole.pl
63,0210033,Leśna,dolnośląskie,lubański,GMW,Urząd Miejski w Leśnej,Leśna,59-820,Leśna,Rynek,19,75,7211239,,,75,7242368,,sekretariat@lesna.pl,www.lesna.pl,/7024qyxeft/skrytka,sekretariat@lesna.pl
64,0208092,Lewin Kłodzki,dolnośląskie,kłodzki,GW,Urząd Gminy Lewin Kłodzki,Lewin Kłodzki,57-343,Lewin Kłodzki,ul. Nad Potokiem,4,74,8698429,,,74,8698273,,urzad@lewin-klodzki.pl,www.lewin-klodzki.pl,/lewinklodzki/skrytka,urzad@lewin-klodzki.pl
65,0210011,Lubań,dolnośląskie,lubański,GM,Urząd Miasta Lubań,Lubań,59-800,Lubań,ul. 7 Dywizji ,14,75,6464400,,,75,6464405,,boi.um@luban.pl,www.luban.pl,/umluban/skrytka,boi.um@luban.pl
66,0210042,Lubań,dolnośląskie,lubański,GW,Urząd Gminy Lubań,Lubań,59-800,Lubań,ul. Dąbrowskiego,18,75,6465920,,,75,6126850,,info@luban.ug.gov.pl,www.luban.ug.gov.pl,/2g02e5pxle/skrytka,info@luban.ug.gov.pl
67,0207033,Lubawka,dolnośląskie,kamiennogórski,GMW,Urząd Miasta Lubawka,Lubawka,58-420,Lubawka,Plac Wolności,1,75,7411588,,20,75,7411262,,lubawka@lubawka.net.pl,www.lubawka.net.pl,/umlubawka/skrytka,lubawka@lubawka.net.pl
68,0211011,Lubin,dolnośląskie,lubiński,GM,Urząd Miejski w Lubinie,Lubin,59-300,Lubin,ul. Kilińskiego,10,76,7468100,,,76,7468200,,kontakt@um.lubin.pl,www.um.lubin.pl,/um-lubin/skrytka,kontakt@um.lubin.pl
69,0211022,Lubin,dolnośląskie,lubiński,GW,Urząd Gminy Lubin,Lubin,59-300,Lubin,ul. Księcia Ludwika I,3,76,8403100,,,76,8403140,,sekretariat@ug.lubin.pl,www.bip.ug-lubin.dolnyslask.pl,/ug-lubin/skrytka,sekretariat@ug.lubin.pl
70,0212023,Lubomierz,dolnośląskie,lwówecki,GMW,Urząd Gminy i Miasta Lubomierz,Lubomierz,59-623,Lubomierz,Plac Wolności,1,75,7833166,,32,75,7833167,,ugim@lubomierz.pl,www.lubomierz.pl,/pvupv91342/skrytka,ugim@lubomierz.pl
71,0212033,Lwówek Śląski,dolnośląskie,lwówecki,GMW,Urząd Gminy i Miasta Lwówek Śląski,Lwówek Śląski,59-600,Lwówek Śląski,Al. Wojska Polskiego,25 A,75,6477888,,,75,6477889,,urzad@lwowekslaski.pl,www.bip.lwowekslaski.pl,/f8rsap4525/skrytka,urzad@lwowekslaski.pl
72,0202062,Łagiewniki,dolnośląskie,dzierżoniowski,GW,Urząd Gminy Łagiewniki,Łagiewniki,58-210,Łagiewniki,ul. Jedności Narodowej,21,74,8939455,,,74,8940130,,gmina@lagiewniki.pl,www.lagiewniki.pl,/kn6tnt963c/skrytka,gmina@lagiewniki.pl
73,0218022,Malczyce,dolnośląskie,średzki,GW,Urząd Gminy Malczyce,Malczyce,55-320,Malczyce,ul. Traugutta,15,71,3179223,,,71,3179617,,sekretariat@malczyce.wroc.pl,www.malczyce.wroc.pl,/malczyceug/SkrytkaEsp,sekretariat@malczyce.wroc.pl
74,0219052,Marcinowice,dolnośląskie,świdnicki,GW,Urząd Gminy Marcinowice,Marcinowice,58-124,Marcinowice,ul. J. Tuwima,2,74,8585226,,,74,8585231,,gmina@marcinowice.pl,www.marcinowice.pl,/UGM/skrytka,gmina@marcinowice.pl
75,0207042,Marciszów,dolnośląskie,kamiennogórski,GW,Urząd Gminy Marciszów,Marciszów,58-410,Marciszów,ul. Szkolna,6,75,7410367,,,75,7410208,,gmina@marciszow.pl,www.marciszow.pl,/35ye4htf5c/skrytka,gmina@marciszow.pl
76,0205032,Męcinka,dolnośląskie,jaworski,GW,Urząd Gminy Męcinka,Męcinka,59-424,Męcinka,Męcinka,11,76,8713440,,,76,8713452,,ug@mecinka.pl,www.mecinka.pl,/ugmecinka/skrytka,ug@mecinka.pl
77,0221063,Mieroszów,dolnośląskie,wałbrzyski,GMW,Urząd Miejski w Mieroszowie,Mieroszów,58-350,Mieroszów,Pl .Niepodległości,1,74,8494300,,,74,8494323,,urzad@mieroszow.pl,www.mieroszow.pl,/d0ka68mu22/skrytka,urzad@mieroszow.pl
78,0223062,Mietków,dolnośląskie,wrocławski,GW,Urząd Gminy Mietków,Mietków,55-081,Mietków,ul. Kolejowa,35,71,3168113,,,71,3168184,,urzad@mietkow.pl,www.mietkow.pl,/9v550nswk6/skrytka,urzad@mietkow.pl
79,0214053,Międzybórz,dolnośląskie,oleśnicki,GMW,Urząd Miasta i Gminy w Międzyborzu,Międzybórz,56-513,Międzybórz,ul. Kolejowa,13,62,"7856019


",,21,62,7856266,,umig@miedzyborz.pl,www.miedzyborz.pl,/MIEDZYBORZ/skrytka,umig@miedzyborz.pl
80,0208103,Międzylesie,dolnośląskie,kłodzki,GMW,Urząd Miasta i Gminy w Międzylesiu,Międzylesie,57-530,Międzylesie,Pl.Wolności,1,74,8126327,,21,74,8126126,,urzad@miedzylesie.pl,www.miedzylesie.pl,/yx0il710gg/skrytka,urzad@miedzylesie.pl
81,0218032,Miękinia,dolnośląskie,średzki,GW,Urząd Gminy Miękinia,Miękinia,55-330,Miękinia,ul. Kościuszki,41,71,7359228,,,71,7336400,,urzad@miekinia.pl,www.miekinia.pl,/n344l0yobw/skrytka,urzad@miekinia.pl
82,0213033,Milicz,dolnośląskie,milicki,GMW,Urząd Miejski w Miliczu,Milicz,56-300,Milicz,ul. Trzebnicka,2,71,3840004,,,71,3841119,,info@milicz.pl,www.milicz.pl,/5luw8l69oq/skrytka,info@milicz.pl
83,0209062,Miłkowice,dolnośląskie,legnicki,GW,Urząd Gminy Miłkowice,Miłkowice,59-222,Miłkowice,ul. Wojska Polskiego,71,76,8871212,,,76,8871213,,sekretariat@ugmilkowice.net,www.ugmilkowice.net,/ugmilkowice/skrytka,sekretariat@ugmilkowice.net
84,0212043,Mirsk,dolnośląskie,lwówecki,GMW,Urząd Miasta i Gminy Mirsk,Mirsk,59-630,Mirsk,Plac Wolności,39,75,6470440,,,75,6470469,,gmina@mirsk.pl,www.mirsk.pl,/s0eka1s21o/skrytka,gmina@mirsk.pl
85,0205042,Mściwojów,dolnośląskie,jaworski,GW,Urząd Gminy Mściwojów,Mściwojów,59-407,Mściwojów,Mściwojów,43,76,8788520,,,76,8728595,,ug@msciwojow.pl,www.msciwojow.pl,/UrzadGminyMsciwojow/skrytka,ug@msciwojow.pl
86,0206072,Mysłakowice,dolnośląskie,karkonoski,GW,Urząd Gminy Mysłakowice,Mysłakowice,58-533,Mysłakowice,ul. Szkolna,5,75,6439960,,,75,6439999,,gmina@myslakowice.pl,www.myslakowice.pl,/Myslakowice/skrytka,gmina@myslakowice.pl
87,0204032,Niechlów,dolnośląskie,górowski,GW,Urząd Gminy Niechlów,Niechlów,56-215,Niechlów,ul. Głogowska,31,65,5435676,,,65,5435814,,urzad@niechlow.pl,www.niechlow.com.pl,/199nxbs0ll/skrytka,urzad@niechlow.pl
88,0202073,Niemcza,dolnośląskie,dzierżoniowski,GMW,Urząd Miasta i Gminy Niemcza,Niemcza,58-230,Niemcza,Rynek,10,74,8376265,,13,74,8376280,,sekretariat@um.niemcza.pl,www.um.niemcza.pl,/l4r0h2i7wk/skrytka,sekretariat@um.niemcza.pl
89,0208041,Nowa Ruda,dolnośląskie,kłodzki,GM,Urząd Miejski w Nowej Rudzie,Nowa Ruda,57-400,Nowa Ruda,Rynek,1,74,8720300,,,74,8722268,,miasto@um.nowaruda.pl,www.um.nowaruda.pl,/8de798qldx/skrytka,miasto@um.nowaruda.pl
